"Home","Home"
"You have not set a default billing address.","Geen standaard factuuradres ingesteld."
"You have not set a default shipping address.","Geen standaard verzendadres ingesteld."
"Ship To","Verzonden naar"
"Contact Us","Contact"
"Store Catalog","Webshop"
"Search entire store here...","Doorzoek de hele winkel"
"My Account","Account"
"Mijn account","Account"
"Sign Up for Our Newsletter:","Aanmelden nieuwsbrief"
"Fast and easy check out",""
"Easy access to your order history and status",""
"Confirm Password","Bevestig wachtwoord"