"Program Name","Program Name"
"Details","Details"
"Created Date","Created Date"
"Join Program","Join Program"
"View Program Product List","View Program Product List"
"Product","Product"
"Price","Price"
"Discount","Discount"
"Commission","Commission"
"View Product Detail","View Product Detail"
"Joined At","Joined At"
"Out Program","Out Program"
"Program Manager","Program Manager"
"Add Program","Add Program"
"Save Program","Save Program"
"Delete Program","Delete Program"
"Save And Continue Edit","Save And Continue Edit"
"Number of Account","Number of Account"
"Total Amount","Total Amount"
"Status","Status"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Change status","Change status"
"Program Information","Program Information"
"Program Detail","Program Detail"
"View Transactions","View Transactions"
"Affiliate Accounts","Affiliate Accounts"
"Categories","Categories"
"Products","Products"
"Name","Name"
"Email","Email"
"Balance","Balance"
"Total Commission Received","Total Commission Received"
"Total Paid","Total Paid"
"Position","Position"
"Program information","Program information"
"Use Default","Use Default"
"STORE VIEW","STORE VIEW"
"Commission Type","Commission Type"
"Discount Type","Discount Type"
"Expire Time","Expire Time"
"Auto join Affiliate Account","Auto join Affiliate Account"
"Apply to","Apply to"
"Customer Groups","Customer Groups"
"Show in Welcome page","Show in Welcome page"
"Number of Affiliate Account","Number of Affiliate Account"
"Total Sales Amount","Total Sales Amount"
"Visibility","Visibility"
"SKU","SKU"
"Number of Accounts","Number of Accounts"
"Affiliate Account","Affiliate Account"
"Customer Email","Customer Email"
"Order","Order"
"Product Name","Product Name"
"View Affiliate Account Detail","View Affiliate Account Detail"
"My Programs","My Programs"
"All Programs","All Programs"
"Programs Manager","Programs Manager"
"Affiliateplus","Affiliateplus"
"Manage Programs","Manage Programs"
"New Program","New Program"
"Program News","Program News"
"Program does not exist","Program does not exist"
"Program was successfully saved","Program was successfully saved"
"Unable to find program to save","Unable to find program to save"
"Program was successfully deleted","Program was successfully deleted"
"Affiliate Program","Affiliate Program"
"View Program Detail","View Program Detail"
"View Program Configuration Detail","View Program Configuration Detail"
"Default Program","Default Program"
"Programs","Programs"
"Global","Global"
"Customer","Customer"
"Enabled","Enabled"
"Disabled","Disabled"
"Product Categories","Product Categories"
"Search","Search"
"Reset","Reset"
"Back","Back"
"Join All Selected Program","Join All Selected Program"
"Other Programs","Other Programs"
"List All Programs","List All Programs"
"Manage Programs","Manage Programs"